date,air_pollution_pm_10
2001-01-01,22.9
2001-01-02,41.5
2001-01-03,60.1
2001-01-04,35.3
2001-01-05,37.8
2001-01-06,35.6
2001-01-07,51.0
2001-01-08,32.9
2001-01-09,19.6
2001-01-10,34.2
2001-01-11,38.7
2001-01-12,20.3
2001-01-13,27.8
2001-01-14,42.8
2001-01-15,58.5
2001-01-16,27.1
2001-01-17,37.6
2001-01-18,49.7
2001-01-19,53.3
2001-01-20,67.2
2001-01-21,45.1
2001-01-22,31.0
2001-01-23,38.5
2001-01-24,29.5
2001-01-25,35.2
2001-01-26,30.4
2001-01-27,42.8
2001-01-28,26.9
2001-01-29,57.0
2001-01-30,22.6
2001-01-31,15.6
2001-02-01,15.1
2001-02-02,24.5
2001-02-03,28.0
2001-02-04,38.3
2001-02-05,47.7
2001-02-06,27.9
2001-02-07,55.4
2001-02-08,64.0
2001-02-09,40.4
2001-02-10,18.9
2001-02-11,26.3
2001-02-12,61.6
2001-02-13,30.9
2001-02-14,31.8
2001-02-15,36.8
2001-02-16,51.0
2001-02-17,48.0
2001-02-18,15.8
2001-02-19,15.6
2001-02-20,18.1
2001-02-21,9.7
2001-02-22,10.9
2001-02-23,25.1
2001-02-24,21.7
2001-02-25,35.4
2001-02-26,57.1
2001-02-27,43.8
2001-02-28,37.1
2001-03-01,61.5
2001-03-02,57.3
2001-03-03,45.3
2001-03-04,76.8
2001-03-05,69.2
2001-03-06,61.6
2001-03-07,74.5
2001-03-08,70.2
2001-03-09,73.8
2001-03-10,62.5
2001-03-11,50.1
2001-03-12,65.0
2001-03-13,45.2
2001-03-14,36.3
2001-03-15,37.3
2001-03-16,41.2
2001-03-17,33.5
2001-03-18,26.7
2001-03-19,51.6
2001-03-20,22.1
2001-03-21,40.6
2001-03-22,45.0
2001-03-23,58.9
2001-03-24,51.3
2001-03-25,29.2
2001-03-26,29.9
2001-03-27,34.8
2001-03-28,32.6
2001-03-29,39.7
2001-03-30,56.2
2001-03-31,66.7
2001-04-01,63.2
2001-04-02,72.0
2001-04-03,83.6
2001-04-04,65.0
2001-04-05,47.0
2001-04-06,46.7
2001-04-07,32.4
2001-04-08,28.7
2001-04-09,20.1
2001-04-10,35.0
2001-04-11,39.1
2001-04-12,50.5
2001-04-13,29.2
2001-04-14,21.0
2001-04-15,23.1
2001-04-16,23.2
2001-04-17,34.9
2001-04-18,44.6
2001-04-19,48.5
2001-04-20,45.4
2001-04-21,23.6
2001-04-22,19.0
2001-04-23,40.1
2001-04-24,29.6
2001-04-25,36.0
2001-04-26,38.8
2001-04-27,35.4
2001-04-28,37.8
2001-04-29,34.1
2001-04-30,38.9
2001-05-01,41.9
2001-05-02,38.2
2001-05-03,28.0
2001-05-04,41.3
2001-05-05,37.2
2001-05-06,34.3
2001-05-07,31.4
2001-05-08,39.1
2001-05-09,34.6
2001-05-10,31.8
2001-05-11,26.9
