date,cloud,wind,temp,humidity,pressure,precipitation_day,precipitation_night
2001-01-01,2.0,1.6,-5.3,82.5,987.9,0.0,0.0
2001-01-02,4.9,1.8,-3.6,82.5,981.3,0.0,0.0
2001-01-03,5.9,1.5,-1.9,92.5,981.5,6.3,2.1
2001-01-04,3.6,1.6,2.3,89.1,983.8,0.1,0.0
2001-01-05,5.9,1.4,1.4,88.0,980.6,0.0,0.0
2001-01-06,7.3,1.0,3.5,84.4,976.3,0.0,0.5
2001-01-07,8.0,0.6,3.0,95.6,984.7,1.2,1.6
2001-01-08,8.0,1.4,2.7,97.6,982.2,6.2,13.3
2001-01-09,7.8,2.4,1.3,93.0,983.4,2.2,0.2
2001-01-10,6.3,1.8,1.5,84.5,988.7,0.0,0.6
2001-01-11,5.0,1.9,-0.5,92.9,990.4,0.7,0.0
2001-01-12,5.6,4.3,-1.8,77.0,995.4,0.1,0.3
2001-01-13,6.8,2.6,-2.3,85.6,1003.7,0.2,0.1
2001-01-14,6.0,1.1,-4.7,91.5,1007.3,0.0,0.0
2001-01-15,7.6,1.4,-3.6,89.9,1005.4,0.0,0.0
2001-01-16,7.5,2.1,-2.7,86.3,1002.2,0.0,0.0
2001-01-17,7.6,2.8,-5.2,87.6,999.9,0.0,0.0
2001-01-18,7.5,2.9,-6.0,91.4,998.8,0.0,0.0
2001-01-19,4.9,2.9,-6.0,87.5,998.9,0.0,0.0
2001-01-20,6.1,1.4,-3.5,82.6,999.7,0.0,0.0
2001-01-21,6.9,3.4,-4.2,83.6,1001.1,0.0,0.0
2001-01-22,7.3,4.5,-4.0,82.5,996.6,0.0,0.0
2001-01-23,7.0,4.1,-1.6,81.4,989.2,0.0,0.0
2001-01-24,5.0,3.0,1.0,77.0,986.2,0.0,6.6
2001-01-25,7.5,1.9,3.4,88.3,984.5,0.2,1.3
2001-01-26,7.4,2.6,3.7,86.4,980.9,0.0,0.9
2001-01-27,7.8,1.1,1.6,97.1,976.1,0.0,0.0
2001-01-28,3.1,1.5,2.3,73.5,977.3,0.0,0.0
2001-01-29,5.9,1.4,1.2,79.5,983.7,0.0,0.0
2001-01-30,7.4,2.0,0.0,84.8,990.5,0.0,0.2
2001-01-31,8.0,4.0,-0.1,86.4,988.1,0.8,0.0
2001-02-01,6.5,3.0,-1.7,76.6,989.5,0.3,0.0
2001-02-02,6.4,3.9,-2.5,81.9,986.8,0.1,0.0
2001-02-03,5.3,1.8,-6.1,72.4,985.0,0.0,1.1
2001-02-04,8.0,3.4,-5.5,87.9,980.5,1.5,1.2
2001-02-05,7.4,3.3,0.2,84.8,977.3,0.5,0.7
2001-02-06,6.0,1.4,5.0,85.9,983.5,0.3,0.0
2001-02-07,6.5,1.5,4.7,85.4,985.0,0.0,0.0
2001-02-08,6.8,1.6,4.8,87.3,980.0,0.0,0.0
2001-02-09,4.1,2.9,7.7,72.6,982.9,0.0,1.2
2001-02-10,7.8,2.5,4.8,87.4,1001.4,0.1,0.0
2001-02-11,1.9,0.5,0.5,78.3,1010.5,0.0,0.0
2001-02-12,5.8,1.4,4.0,67.9,1001.5,0.0,0.0
2001-02-13,8.0,3.0,5.0,69.1,996.0,0.2,0.0
2001-02-14,6.8,2.8,2.7,82.3,1001.3,0.0,0.0
2001-02-15,2.5,3.0,2.7,74.3,1001.4,0.0,0.0
2001-02-16,1.0,2.0,2.7,75.3,999.4,0.0,0.0
2001-02-17,5.3,1.4,0.0,87.4,1001.3,0.0,0.0
2001-02-18,5.5,6.8,-0.3,81.8,995.5,1.0,0.0
2001-02-19,6.6,5.4,0.5,73.6,996.0,0.0,0.5
2001-02-20,8.0,4.9,1.0,91.0,987.8,1.0,0.7
2001-02-21,7.4,8.3,1.2,89.5,980.2,6.7,0.3
2001-02-22,6.1,8.4,0.6,78.9,969.3,1.0,0.0
2001-02-23,5.9,4.0,-1.6,76.1,968.1,0.0,0.0
2001-02-24,6.1,2.8,-4.0,76.8,977.3,0.1,0.0
2001-02-25,2.0,1.1,-6.4,69.0,983.2,0.0,0.0
2001-02-26,2.1,0.9,-5.7,71.3,978.8,0.0,0.1
2001-02-27,5.1,2.0,-3.4,76.6,978.6,0.0,0.0
2001-02-28,1.5,2.4,-2.6,63.0,979.2,0.0,0.0
2001-03-01,6.9,2.0,1.0,74.0,970.8,0.7,0.0
2001-03-02,1.8,2.8,0.4,77.3,973.9,0.0,0.8
2001-03-03,6.8,2.8,1.1,88.3,968.3,0.8,0.0
2001-03-04,7.9,2.9,2.7,93.8,971.6,0.5,0.2
2001-03-05,7.8,2.4,2.8,85.4,982.5,5.5,0.0
2001-03-06,2.8,3.5,0.9,74.5,999.2,0.0,0.0
2001-03-07,1.9,1.3,1.9,70.0,995.1,0.0,0.0
2001-03-08,7.0,2.1,4.8,56.9,985.4,0.0,0.0
2001-03-09,6.9,2.1,7.7,64.4,979.2,0.0,0.7
